,Restaurant_id,Ranking,Rating,Number_of_Reviews,Cuisine_Style_Number,Price_Range_Number,another_rest_city_number,review_len,Time_delta,Vegetarian Friendly,European,Mediterranean,Italian,Vegan Options,Gluten Free Options,Bar,French,Asian,Population,purchasing_power,Population_Per_Restaurant
0,id_5569,5570.0,3.5,194.0,3,2.0,4897,89,41,0,1,0,0,0,0,0,1,0,2148271,22,438.6912395344088
1,id_1535,1537.0,4.0,10.0,1,1.8140461055372596,820,77,382,0,0,0,0,0,0,0,0,0,975904,13,1190.1268292682928
2,id_352,353.0,4.5,688.0,7,3.0,5757,76,2,1,0,0,0,1,1,0,0,1,8909081,24,1547.5214521452144
3,id_3456,3458.0,5.0,3.0,1,1.8140461055372596,2155,8,150,0,0,0,0,0,0,0,0,0,3769495,8,1749.185614849188
4,id_615,621.0,4.0,84.0,3,2.0,893,117,272,1,0,0,0,0,0,0,0,0,1484226,6,1662.06718924972
5,id_1418,1419.0,3.0,2.0,1,1.8140461055372596,513,119,108,0,0,0,0,0,0,0,0,0,287591,42,560.6062378167642
6,id_1720,1722.0,4.0,50.0,2,1.0,2133,90,-93,0,0,0,1,0,0,0,0,0,1399860,40,656.2869198312236
7,id_825,826.0,3.0,9.0,1,1.8140461055372596,301,73,613,0,0,0,1,0,0,0,0,0,437726,39,1454.2392026578073
8,id_2690,2692.0,4.0,83.79287722586692,1,1.8140461055372596,1166,8,150,0,0,0,0,0,0,0,0,0,2600000,21,2229.8456260720413
9,id_4209,4210.0,4.0,55.0,3,1.0,2078,93,225,0,0,0,1,0,0,0,0,0,2860009,37,1376.327718960539
10,id_6578,6579.0,3.0,6.0,1,1.8140461055372596,2734,8,150,0,0,0,0,0,0,0,0,0,1620343,30,592.6638624725676
11,id_5312,5321.0,4.0,42.0,3,2.0,5757,79,23,1,0,0,1,0,0,0,0,0,8909081,24,1547.5214521452144
12,id_4066,4073.0,3.5,286.0,4,2.0,5757,89,11,1,0,0,1,0,1,0,0,0,8909081,24,1547.5214521452144
13,id_4637,4639.0,4.5,10.0,2,2.0,2155,103,56,1,0,0,0,0,1,0,0,0,3769495,8,1749.185614849188
14,id_4773,4776.0,4.0,7.0,3,2.0,3108,8,150,0,0,1,0,0,0,0,0,0,3223334,23,1037.1087516087516
15,id_1401,1405.0,4.0,28.0,1,2.0,673,63,78,0,0,0,0,0,0,0,0,0,554554,27,824.0029717682021
16,id_5257,5259.0,4.0,3.0,4,1.8140461055372596,2155,53,150,0,0,0,0,0,0,0,0,1,3769495,8,1749.185614849188
17,id_11121,11131.0,4.5,7.0,2,2.0,5757,62,120,0,0,0,0,0,0,1,0,0,8909081,24,1547.5214521452144
18,id_3127,3129.0,4.0,12.0,1,2.0,2155,88,299,0,0,0,0,0,0,0,0,0,3769495,8,1749.185614849188
19,id_2791,2792.0,3.0,12.0,1,2.0,1060,117,243,0,0,0,0,0,0,0,0,0,1208542,15,1140.133962264151
20,id_368,370.0,5.0,27.0,2,2.0,893,81,8,1,0,0,0,0,0,0,0,0,1484226,6,1662.06718924972
21,id_5844,5847.0,4.0,100.05317324185249,1,1.8140461055372596,3108,8,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
22,id_13016,13026.0,3.5,52.0,3,2.0,5757,83,98,0,0,0,0,0,0,1,0,0,8909081,24,1547.5214521452144
23,id_72,73.0,4.0,371.0,5,2.0,538,100,57,1,0,0,0,1,1,0,0,1,415215,2,771.7750929368029
24,id_14973,14984.0,3.0,18.0,2,1.0,5757,62,89,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
25,id_1076,1077.0,5.0,2.0,4,1.0,727,8,150,0,1,0,0,0,0,0,0,0,1793579,29,2467.0962861072903
26,id_2763,2765.0,5.0,11.0,1,1.8140461055372596,3108,62,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
27,id_2108,2109.0,3.5,2.0,1,1.8140461055372596,816,52,150,0,0,0,0,0,0,0,0,0,1752286,51,2147.4093137254904
28,id_10057,10059.0,4.5,4.0,1,1.8140461055372596,4897,30,150,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
29,id_8349,8356.0,2.5,16.0,1,1.8140461055372596,3108,8,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
30,id_1841,1846.0,3.0,16.0,1,1.8140461055372596,659,80,27,0,0,0,0,0,0,0,0,0,794128,10,1205.050075872534
31,id_2006,2011.0,4.5,15.0,2,2.0,1086,88,241,0,1,0,0,0,0,0,0,0,872680,19,803.572744014733
32,id_1327,1328.0,5.0,159.1068090787717,1,1.8140461055372596,816,67,150,0,0,0,0,0,0,0,0,0,1752286,51,2147.4093137254904
